name,host,time,value
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:01+00:00,27.14198563
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:04+00:00,27.14198852
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:07+00:00,27.14199053
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:10+00:00,27.14199194
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:13+00:00,27.14199293
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:16+00:00,27.14199362
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:19+00:00,27.14199411
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:22+00:00,27.14199445
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:25+00:00,27.14199469
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:28+00:00,27.14199485
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:31+00:00,27.14199497
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:34+00:00,27.23199505
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:37+00:00,27.29499511
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:40+00:00,27.33909515
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:43+00:00,27.36996517
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:46+00:00,27.39157419
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:49+00:00,27.40670051
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:52+00:00,27.41728893
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:55+00:00,27.42470082
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:11:58+00:00,27.42988915
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:01+00:00,27.43352097
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:04+00:00,27.52606325
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:07+00:00,27.59084285
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:10+00:00,27.63618857
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:13+00:00,27.66793057
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:16+00:00,27.69014997
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:19+00:00,27.70570355
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:22+00:00,27.71659106
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:25+00:00,27.72421231
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:28+00:00,27.72954719
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:31+00:00,27.7332816
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:34+00:00,27.7358957
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:37+00:00,27.73772556
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:40+00:00,27.73900646
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:43+00:00,27.7399031
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:46+00:00,27.74053074
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:49+00:00,27.74097009
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:52+00:00,27.74127763
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:55+00:00,27.74149292
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:12:58+00:00,27.74164361
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:01+00:00,27.7417491
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:04+00:00,27.74182294
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:07+00:00,27.74187463
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:10+00:00,27.74191081
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:13+00:00,27.74193614
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:16+00:00,27.74195387
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:19+00:00,27.74196628
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:22+00:00,27.74197497
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:25+00:00,27.74198105
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:28+00:00,27.74198531
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:31+00:00,27.74198829
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:34+00:00,27.83199037
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:37+00:00,27.89499183
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:40+00:00,27.93909285
storage_service_cpu_usage_percentage,localhost:1080,2025-08-14T13:13:43+00:00,27.96996357
